[x],[y],[z],[F_x],[F_y],[F_z],[M_x],[M_y],[M_z]
0.0,0.0,0.0,1.132932,9.19355,6.521987,0.097788,0.662524,0.930697
0.00392,0.0,0.0,1.226267,9.950948,7.059292,0.105844,0.717105,1.007371
0.01192,0.0,0.0,0.252742,11.819179,7.531469,0.117119,0.860021,1.253688
0.01992,0.0,0.0,0.006046,13.564993,8.099507,0.127015,0.998964,1.541455
0.02792,0.0,0.0,0.113882,15.326702,8.622943,0.140736,1.137087,1.862645
0.03592,0.0,0.0,0.16806,17.301972,9.172971,0.158466,1.285779,2.243631
0.04392,0.0,0.0,0.237554,19.507601,9.781797,0.174315,1.449669,2.690724
0.05192,0.0,0.0,0.305829,21.858802,10.37228,0.189399,1.623715,3.194071
0.05992,0.0,0.0,0.514659,24.416029,10.993705,0.200775,1.81116,3.767187
0.06792,0.0,0.0,0.658327,27.078628,11.554943,0.213002,1.999343,4.400617
0.07592,0.0,0.0,0.758418,29.908918,12.120272,0.222744,2.195515,5.108334
0.08392,0.0,0.0,0.854165,33.033049,12.784935,0.230576,2.416678,5.916298
0.09192,0.0,0.0,1.018422,36.216942,13.377891,0.240658,2.631333,6.786728
0.09992,0.0,0.0,1.104747,39.541679,13.947944,0.251482,2.852764,7.737137
0.10792,0.0,0.0,1.231272,43.028272,14.541254,0.260643,3.086236,8.774965
0.11592,0.0,0.0,1.323606,46.64898,15.114656,0.27069,3.325661,9.898244
0.12392,0.0,0.0,1.485614,50.460532,15.745049,0.278073,3.584076,11.122589
0.13192,0.0,0.0,1.625036,54.707029,16.38376,0.274152,3.855994,12.50902
0.13992,0.0,0.0,1.772508,58.636845,16.942853,0.29391,4.119291,13.890193
0.14792,0.0,0.0,1.926291,63.04046,17.576587,0.298998,4.409315,15.452232
0.15592,0.0,0.0,2.08447,67.456996,18.180652,0.30698,4.702071,17.086396
0.16392,0.0,0.0,2.224803,71.920906,18.743418,0.316007,4.993713,18.805356
0.17192,0.0,0.0,2.412939,76.3378,19.216218,0.331074,5.270189,20.581716
0.17992,0.0,0.0,2.594533,81.244961,19.856374,0.340026,5.600576,22.566719
0.18792,0.0,0.0,2.735332,86.146684,20.44648,0.346289,5.926266,24.630718
0.19592,0.0,0.0,2.859646,91.104486,20.919252,0.357947,6.226849,26.789616
0.20392,0.0,0.0,2.956969,96.443998,21.571599,0.366649,6.59133,29.143274
0.21192,0.0,0.0,3.01031,101.769607,22.173405,0.373103,6.950959,31.579773
0.21992,0.0,0.0,3.040076,107.162463,22.592722,0.386362,7.261674,34.122475
0.22792,0.0,0.0,3.105793,112.901191,23.196872,0.39579,7.639691,36.863772
0.23592,0.0,0.0,3.145794,118.43334,23.66298,0.404535,7.981442,39.629106
0.24392,0.0,0.0,3.166333,124.104445,24.06639,0.423702,8.308738,42.530353
0.25192,0.0,0.0,3.220743,130.313553,24.569443,0.435743,8.67764,45.710091
0.25992,0.0,0.0,3.258166,136.537938,25.14768,0.436129,9.081492,48.996871
0.26792,0.0,0.0,3.273273,142.874212,25.619864,0.450541,9.455518,52.42342
0.27592,0.0,0.0,3.308866,149.309347,26.027066,0.458659,9.812849,55.988315
0.28392,0.0,0.0,3.331837,156.355576,26.577113,0.44606,10.231507,59.890502
0.29192,0.0,0.0,3.354927,163.64554,27.188976,0.460922,10.683627,64.001375
0.29992,0.0,0.0,3.379706,170.481964,27.673707,0.458937,11.093687,68.04666
0.30792,0.0,0.0,3.431931,178.099463,28.434212,0.459773,11.624495,72.521515
0.31592,0.0,0.0,3.412337,185.02866,28.672707,0.476188,11.950816,76.831532
0.32392,0.0,0.0,3.452445,192.878714,29.353769,0.47388,12.467324,81.64165
0.33192,0.0,0.0,3.474479,200.295725,29.906155,0.470433,12.940586,86.393079
0.33992,0.0,0.0,3.463831,208.210164,30.083925,0.493892,13.257257,91.477625
0.34792,0.0,0.0,3.500374,216.462356,30.869524,0.486794,13.849359,96.843619
0.35592,0.0,0.0,3.509905,224.047627,30.881552,0.50474,14.101682,102.035435
0.36392,0.0,0.0,3.513229,232.977542,31.751489,0.495509,14.750928,107.97403
0.37192,0.0,0.0,3.522366,240.618984,31.824886,0.50959,15.040122,113.446711
0.37992,0.0,0.0,3.565068,249.939848,32.32161,0.52064,15.532183,119.846184
0.38792,0.0,0.0,3.559799,258.936042,32.98474,0.509446,16.113665,126.239306
0.39592,0.0,0.0,3.580053,267.925149,33.256193,0.51884,16.512301,132.772026
0.40392,0.0,0.0,3.609268,277.082301,33.646852,0.523957,16.973967,139.530328
0.41192,0.0,0.0,3.607659,286.44612,34.256546,0.521283,17.554679,146.544206
0.41992,0.0,0.0,3.633076,295.44714,34.429978,0.537371,17.91957,153.518631
0.42792,0.0,0.0,3.658618,304.624836,34.726764,0.541261,18.350661,160.728728
0.43592,0.0,0.0,3.663711,314.631875,35.25239,0.545396,18.909424,168.530676
0.44392,0.0,0.0,3.675887,323.866949,35.671448,0.542032,19.419399,176.074888
0.45192,0.0,0.0,3.71235,333.85491,35.842799,0.562491,19.79971,184.180094
0.45992,0.0,0.0,3.675389,343.185945,36.155867,0.55378,20.260491,192.076831
0.46792,0.0,0.0,3.701102,353.291704,36.266392,0.563482,20.612581,200.563748
0.47592,0.0,0.0,3.754636,363.198458,36.601839,0.56282,21.096008,209.097907
0.48392,0.0,0.0,3.784122,372.777491,36.803052,0.562848,21.506441,217.600621
0.49192,0.0,0.0,3.786592,382.747472,37.010932,0.568903,21.923615,226.485723
0.49992,0.0,0.0,3.802867,393.099735,37.213556,0.577646,22.340581,235.760029
0.50792,0.0,0.0,3.776918,403.184968,37.479495,0.573632,22.799056,245.03696
0.51592,0.0,0.0,3.786441,413.595843,37.6544,0.583553,23.20633,254.677185
0.52392,0.0,0.0,3.806599,423.58425,37.789254,0.583898,23.591593,264.220318
0.53192,0.0,0.0,3.832473,433.670329,37.877691,0.586919,23.949481,273.984501
0.53992,0.0,0.0,3.882683,444.362542,38.188865,0.612678,24.451291,284.299782
0.54792,0.0,0.0,3.862217,454.619802,38.030039,0.601082,24.653914,294.505177
0.55592,0.0,0.0,3.897218,464.755879,38.090991,0.608497,24.998149,304.794069
0.56392,0.0,0.0,3.916065,474.201412,38.100968,0.607226,25.309211,314.786548
0.57192,0.0,0.0,3.940726,483.697245,37.91166,0.618985,25.486096,324.961579
0.57992,0.0,0.0,3.961183,492.717615,37.833095,0.617473,25.736096,334.967212
0.58792,0.0,0.0,3.985158,500.977586,37.548128,0.620081,25.842367,344.593371
0.59592,0.0,0.0,4.013185,508.802603,37.122036,0.624102,25.845752,354.047686
0.60392,0.0,0.0,4.0468,515.772201,36.710959,0.620403,25.853103,363.024975
0.61192,0.0,0.0,4.077101,521.176586,36.092021,0.614042,25.706002,371.000875
0.61992,0.0,0.0,4.122115,525.648188,35.210904,0.613146,25.359954,378.38988
0.62792,0.0,0.0,4.177759,528.589415,34.271387,0.614112,24.957239,384.735588
0.63592,0.0,0.0,4.253959,529.126864,32.983209,0.607662,24.283483,389.360491
0.64392,0.0,0.0,4.351017,526.961993,31.393868,0.606961,23.364881,391.983869
0.65192,0.0,0.0,4.480609,520.788648,29.438038,0.599017,22.145173,391.55665
0.65992,0.0,0.0,4.686103,509.506664,26.916245,0.589007,20.464127,387.148494
0.66792,0.0,0.0,4.621386,490.689912,23.656072,0.572468,18.175666,376.774226
0.67592,0.0,0.0,4.434219,461.483105,19.351349,0.557106,15.025586,358.042194
0.68392,0.0,0.0,4.169865,416.472187,13.170544,0.562847,10.337031,326.453682
0.69984,0.0,0.0,23.692449,207.267022,18.75667,2.050859,14.923478,165.759793
