Row (Local DOF),Column (Local DOF),K_e Value
0,0,6.877500000000e+10
0,6,-6.877500000000e+10
1,1,9.206712900001e+15
1,5,5.260978800000e+15
1,7,-9.206712900001e+15
1,11,3.945734100000e+15
2,2,1.426194000000e+15
2,4,-8.149680000001e+14
2,8,-1.426194000000e+15
2,10,-6.112260000000e+14
3,3,5.278628250000e+05
3,9,-5.278628250000e+05
4,2,-8.149680000001e+14
4,4,4.753980000000e+14
4,8,8.149680000001e+14
4,10,3.395700000000e+14
5,1,5.260978800000e+15
5,5,3.068904300000e+15
5,7,-5.260978800000e+15
5,11,2.192074500000e+15
6,0,-6.877500000000e+10
6,6,6.877500000000e+10
7,1,-9.206712900001e+15
7,5,-5.260978800000e+15
7,7,9.206712900001e+15
7,11,-3.945734100000e+15
8,2,-1.426194000000e+15
8,4,8.149680000001e+14
8,8,1.426194000000e+15
8,10,6.112260000000e+14
9,3,-5.278628250000e+05
9,9,5.278628250000e+05
10,2,-6.112260000000e+14
10,4,3.395700000000e+14
10,8,6.112260000000e+14
10,10,2.716560000000e+14
11,1,3.945734100000e+15
11,5,2.192074500000e+15
11,7,-3.945734100000e+15
11,11,1.753659600000e+15
